Price,CurrencyIso,TimeOfChange,Url
"399,00",EUR,2025-04-25T15:21:35.015918,https://www.backmarket.de/de-de/p/acer-a515-52-15-i3-8145u-21-ghz-hdd-128-gb-4gb/03b6897c-d545-4495-a809-f66e76df5697
"449,00",EUR,2025-04-25T15:21:51.307726,https://www.backmarket.de/de-de/p/acer-aspire-3-a314-23p-r1ch-14-ryzen-5-28-ghz-ssd-512-gb-16gb-azerty-franzosisch/fe948403-5269-4435-ac47-db9b3ca31708
"434,00",EUR,2025-04-25T15:22:10.153749,https://www.backmarket.de/de-de/p/acer-aspire-3-a315-21-418f-15-a4-22-ghz-hdd-1-tb-8gb-azerty-franzosisch/49cf72f2-84d7-4204-b272-f0c9b06dae2c
"449,00",EUR,2025-04-25T15:23:33.078235,https://www.backmarket.de/de-de/p/acer-aspire-3-a315-51-15-core-i3-23-ghz-ssd-128-gb-4gb-azerty-franzosisch/148f15c1-a930-4813-9e9c-3d0f49f4dfd4
"567,00",EUR,2025-04-25T15:24:06.517068,https://www.backmarket.de/de-de/p/acer-aspire-3-a315-58-37nx-15-core-i3-3-ghz-ssd-512-gb-8gb-azerty-franzosisch/baaa0af9-3043-4459-a0b5-6f7403951e12
"449,00",EUR,2025-04-25T15:24:23.912176,https://www.backmarket.de/de-de/p/acer-aspire-3-n20c5-15-core-i3-3-ghz-ssd-256-gb-8gb-azerty-franzosisch/ecc3fa03-def0-45ab-adfa-5e3e409585d4
"470,00",EUR,2025-04-25T15:24:43.461198,https://www.backmarket.de/de-de/p/acer-aspire-3-n20c6-17-core-i3-3-ghz-ssd-512-gb-8gb-azerty-franzosisch/0ca1ce77-078e-4fc0-a8b4-d5f66d715454
"649,00",EUR,2025-04-25T15:25:45.429833,https://www.backmarket.de/de-de/p/acer-aspire-5-a515-55-7735-15-core-i7-13-ghz-ssd-256-gb-hdd-1-tb-16gb-azerty-franzosisch/81b0973e-7b26-4960-9ddf-b9278c6fd490
"666,00",EUR,2025-04-25T15:26:04.539700,https://www.backmarket.de/de-de/p/acer-aspire-5-a515-56-32r1-15-core-i3-3-ghz-ssd-256-gb-8gb-qwerty-skandinavisch/24ba40bf-dc9a-4a57-a77c-84d27b79ab56
"425,00",EUR,2025-04-25T15:26:25.240500,https://www.backmarket.de/de-de/p/acer-aspire-a314-22-14-ryzen-3-26-ghz-ssd-256-gb-8gb-qwerty-spanisch/73174ec3-23fb-41fa-9015-7774ec7675d0
